latitude,longitude,room_type,accommodates,price,availability_365,review_score,is_entire_home,city
34.10051,-118.37997,Private room,2,200.0,330,4.94,0,Los Angeles
34.17649,-118.4599,Private room,1,70.0,56,4.91,0,Los Angeles
33.99427,-118.46532,Entire home/apt,4,383.0,203,4.96,1,Los Angeles
34.02825,-118.49339,Entire home/apt,2,100.0,364,3.0,1,Los Angeles
34.02778,-118.49294,Entire home/apt,2,109.0,346,4.65,1,Los Angeles
34.02924,-118.49325,Entire home/apt,2,135.0,337,4.65,1,Los Angeles
34.08066,-118.25865,Entire home/apt,2,96.0,365,4.83,1,Los Angeles
34.03315,-118.43823,Private room,8,100.0,179,4.14,0,Los Angeles
34.19277447323954,-118.6349363057821,Entire home/apt,2,90.0,132,4.74,1,Los Angeles
34.13039,-118.34505,Private room,1,130.0,244,4.86,0,Los Angeles
33.99932,-118.45371,Entire home/apt,2,152.0,83,4.93,1,Los Angeles
34.09325,-118.35739,Entire home/apt,2,100.0,269,4.61,1,Los Angeles
33.99924087524414,-118.47870635986328,Entire home/apt,10,459.0,354,5.0,1,Los Angeles
